address,code,description,floor,latitude,longitude,photos,price_local,price_usa,views_day,views_week,zones,Агентство,Балкон,Бытовая техника,Год постройки,Дата обновления,Дополнительно,Мебель,Метро,Планировка,Плита,Полы,Примечания,Район города,Ремонт,Сан/узел,Соседи по квартире,Телефон,Тип дома,rooms,total_area,living_area,kitchen_area,floors,plan_proc,panel_type,photos_proc,Ближайшее метро,До метро,До центра
"Минск, Логойский тракт",1217100,,3,53.94964,27.615829,3.0,356,180,19,19,Восток,0,1,холодильник,2003.5714285714287,2017-12-27,"металлическая дверь, стеклопакеты, окна во двор",1,нет,Пропуск,1,,"Сдается 1-квартира в Зеленом Луге, по Логойскому тракту. Квартира в идеальном состоянии с аккуратным ремонтом и хорошей мебелью. Стеклопакеты, с/у облицован современной плиткой, шкаф-купе в прихожей, интернет.Агент",Первомайский район,0,1,нет,1,Пропуск,1,33.0,18.0,9.0,9,1.0,0,3.0,Маскоўская,2536.316747011043,6346.702407392369
"Минск, Холмогорский 2-й пер., 2",1216469,,1,53.8882,27.651,9.0,356,180,33,186,"Дражня, Холмогорская",0,1,"холодильник, стиральная машина, интернет",2011.0,2017-12-24,"парковка, детская площадка",0,нет,новостройка,0,линолеум,"Сдам порядочной семье или молодой паре 1 комнатную квартиру, на длительный промежуток времени не менее 1 года. Имеется: диван, односпальная кровать, два шкафа, холодильник, стиральная машина, интернет, под лоджией имеется подвал, без домашних животных. Никто не прописан. Предоплата за два месяца. Договор. Студентам и агентам не беспокоить.",Партизанский район,0,1,нет,1,панельный,1,40.0,17.0,9.0,10,1.0,1,9.0,Партызанская,1967.509926995286,6096.310169349808
"Минск, Куприянова ул., 19",1215983,,7,53.898,27.5199,8.0,396,200,18,160,"Р.Люксембург, К.Либкнехта",0,1,интернет,1966.0,2017-12-22,"металлическая дверь, лифт, окна во двор",0,Молодежная (Заводская линия).,брежневка,0,,"1 комнатная квартира на ул.Куприянова. После ремонта. Металлическая дверь, натяжные потолки, новые обои, ламинат на кухне. Из мебели : диван, стол – в комнате; новые шкафчики на кухне (частично), стол, стулья; в прихожей – вешалка и комод. Кладовка. Сдается на длительный срок.",Московский район,0,1,нет,1,кирпичный,1,31.0,17.0,7.0,9,0.0,0,8.0,Маладзёжная,987.5111443009256,2778.6534581745445
"Минск, Космонавтов ул., 12",1207670,,5,53.8534,27.4625,6.0,435,220,20,182,Малиновка,1,1,"холодильник, свч-печь, стиральная машина, интернет",2013.0,2017-12-07,"домофон, металлическая дверь, лифт, стеклопакеты, рядом супермаркет",1,Малиновка (Московская линия).,новостройка,1,линолеум,"Сдается однокомнатная квартира в новом доме, есть мебель и бытовая техника, 7 минут пешком до ст. м. Малиновка.",Московский район,0,1,нет,1,панельный,1,35.0,18.0,7.0,9,1.0,1,6.0,Малінаўка,898.1169759188766,8499.264095985127
"Минск, Коласа ул., 50/3",1216085,,1,53.9363,27.6064,7.0,435,220,28,365,"Независимости, Кедышко, Волгоградская",0,1,"холодильник, стиральная машина, душевая кабина, интернет",1962.0,2017-12-22,"домофон, металлическая дверь, встроенные шкафы, стеклопакеты, парковка, окна во двор",1,"Парк Челюскинцев, до метро 15 мин. пешком (Московская линия).",хрущевка,0,ламинат,,Первомайский район,0,1,нет,1,панельный,1,31.0,18.0,7.0,5,0.0,1,7.0,Парк Чалюскінцаў,1426.4533492936926,4781.894640049914
"Минск, Берута ул., 16/3",1040424,"1-комн. квартира недалеко от ст.м. Пушкинская по ул. Берута, 16/3. В квартире имеется всё необходимое для проживания. В комнате переклеиваются обои. Коммунальные платежи небольшие.",1,53.901794,27.503179,16.0,455,230,12,118,Пушкина-Харьковская-Берута-Гусовского,1,0,"холодильник, посуда, свч-печь, мелкая бытовая техника, стиральная машина, душевая кабина, телевизор, интернет",1964.0,2017-12-26,"домофон, металлическая дверь, стеклопакеты, рядом магазин",1,Пушкинская (Заводская линия).,хрущевка,0,ламинат,,Фрунзенский район,0,1,нет,1,панельный,1,31.0,19.0,6.0,5,0.0,1,16.0,Пушкінская,946.9128652837061,3832.9558387648817
"Минск, Шугаева ул., 9",1216621,,5,53.9406,27.6795,10.0,495,250,43,221,Уручье,0,1,"холодильник, стиральная машина, телевизор, интернет, высокоскоростной интернет, компьютерная сеть",1992.0,2017-12-25,"металлическая дверь, лифт, встроенные шкафы, стеклопакеты, окна во двор, рядом магазин",1,Уручье (Московская линия).,улучшенный проект,1,ламинат,Квартира студия,Первомайский район,1,1,нет,1,монолитный,1,37.0,12.0,7.0,21,1.0,0,10.0,Уручча,766.4693349892594,8837.835464444257
"Минск, Руссиянова ул., 29",1216900,,5,53.93364,27.68685,7.0,495,250,18,42,Уручье,0,1,"холодильник, стиральная машина, интернет, высокоскоростной интернет, компьютерная сеть",1987.0,2017-12-26,"домофон, металлическая дверь, лифт, встроенные шкафы, стеклопакеты, хороший вид из окна, детская площадка, рядом магазин, рядом супермаркет, рядом рынок, рядом спортивный центр",0,Уручье (Московская линия).,стандартный проект,1,ламинат,"Сдается 1-х комнатная квартира в Уручье на длительный срок! Хороший ремонт, современная отделка.Фотографии соответствуют действительности. Сдается на длительный срок.",Первомайский район,0,1,нет,1,панельный,1,33.0,18.0,8.0,9,0.0,1,7.0,Уручча,1308.7478463348662,8936.963866599968
"Минск, Червякова ул., 2/3",1201075,,5,53.92,27.5538,7.0,495,250,13,122,"Червякова, Шевченко",1,1,"холодильник, свч-печь, стиральная машина, телевизор, интернет",1984.0,2017-12-27,,1,Немига (Заводская линия).,стандартный проект,0,линолеум,"Сдается на длительный срок аккуратная квартира с мебельюв центре города (10 минут до метро пл. Победы, Немига, пл. Я. Коласа). Телевизор, холодильник, столы, шкафы, стиральная машина, холодильник, СВЧ. В 250 у.е. входит оплата хозяином квартиры квартплаты.",Центральный район,0,1,нет,1,панельный,1,34.0,17.0,8.0,9,0.0,1,7.0,Няміга,1576.4072499293427,2012.578899862618
"Минск, Козыревская ул., 70",983531,,13,53.858826,27.567944,16.0,515,260,17,117,Маяковского,1,1,"холодильник, посуда, свч-печь, стиральная машина, телевизор, интернет, высокоскоростной интернет",1994.0,2017-12-21,"домофон, металлическая дверь, лифт, встроенные шкафы, стеклопакеты, парковка, хороший вид из окна, благоустроенный двор, детская площадка, рядом магазин, рядом гипермаркет, рядом рынок, рядом спортивный центр, рядом зеленая зона",1,нет,стандартный проект,1,ламинат,,Ленинский район,1,1,нет,1,панельный,1,38.0,18.0,7.0,16,0.0,1,16.0,Інстытут Культуры,3505.1548476614466,4879.139867783299
"Минск, Шугаева ул., 23/2",1216829,,4,53.933258,27.684334,10.0,500,253,19,68,Уручье,0,1,"холодильник, стиральная машина, высокоскоростной интернет",1987.0,2017-12-26,"домофон, металлическая дверь, лифт, встроенные шкафы, стеклопакеты, парковка, хороший вид из окна, детская площадка, рядом супермаркет, рядом зеленая зона",0,Борисовский тракт (Московская линия).,стандартный проект,1,ламинат,"Сдается на длительный срок хорошая квартира в районе с развитой инфраструктурой,рядом метро,большая парковка и удобный выезд на МКАД. Рядом лес, зеленая зона и благоустроенная детская площадка.",Первомайский район,0,1,нет,0,панельный,1,33.0,18.0,7.0,9,0.0,1,10.0,Барысаўскі тракт,1311.3701434481466,8768.1711911257
"Минск, Заславская ул., 12",1101850,,4,53.909567,27.540703,9.0,515,260,17,143,"Победителей, Заславская",1,1,"холодильник, посуда, мелкая бытовая техника, стиральная машина, интернет, высокоскоростной интернет",1986.0,2017-12-26,"домофон, металлическая дверь, лифт, стеклопакеты, хороший вид из окна, окна во двор, детская площадка, рядом магазин, рядом супермаркет, рядом гипермаркет, рядом рынок, рядом спортивный центр, рядом зеленая зона",1,Фрунзенская (Заводская линия).,стандартный проект,1,ламинат,,Центральный район,0,1,нет,1,панельный,1,33.0,7.0,7.0,9,0.0,1,9.0,Фрунзенская,478.17749953331275,1576.1575160351374
"Минск, Калинина ул.",1203702,,2,53.930662,27.600792,0.0,534,270,15,86,"Независимости, Кедышко, Волгоградская",0,1,"холодильник, посуда, мелкая бытовая техника, телевизор, DVD-проигрыватель, интернет, высокоскоростной интернет",2009.0,2017-12-01,"домофон, лифт, стеклопакеты, парковка, окна во двор, благоустроенный двор",1,Академия наук (Московская линия).,новостройка,0,линолеум,Есть парковочное место на огороженой стоянке.,Первомайский район,1,1,нет,1,панельный,1,52.0,23.0,10.0,9,1.0,1,0.0,Акадэмія навук,995.1845201912346,4062.012459015663
"Минск, Притыцкого ул., 91",1146482,,9,53.9059,27.4431,16.0,534,270,14,113,"Запад, Красный Бор",1,1,"холодильник, стиральная машина, высокоскоростной интернет",2008.0,2017-12-26,"домофон, металлическая дверь, лифт, стеклопакеты, парковка, хороший вид из окна, окна во двор, благоустроенный двор, детская площадка, рядом магазин, рядом супермаркет, рядом гипермаркет, рядом рынок, рядом спортивный центр, рядом зеленая зона",1,Каменная горка (Заводская линия).,новостройка,0,линолеум,,Фрунзенский район,0,1,нет,1,каркасно-блочный,1,48.0,18.0,13.0,9,1.0,0,16.0,Каменная Горка,486.0953885423692,7789.956874779832
"Минск, Скрыганова ул., 4/А",1153307,"Сдается новая 1 комн. квартира с евроремонтом по ул. Скрыганова 4А. Центр города, 5 мин. пешком до ст. метро ’’Молодежная’’, рядом с ТЦ ’’Корона’’. Достойная квартира: кухня отдельная со встроенной бытовой техникой, просторная комната, сан. узел совмещенный (большая ванна), большая застекленная лоджия с французскими окнами. Полы с подогревом, стиральная машина, вытяжка, шкаф-купе в прихожей, диван и телевизор и т.д.  Охраняемая территория, видео наблюдение придомовой территории, большая парковка для авто имеется подземный паркинг, во дворе есть детская площадка, рядом садик. Сдача на длительный срок. Готова для заселения и проживания. ",7,53.9108,27.5193,9.0,693,350,15,101,Пушкина-Глебки-Притыцкого-Ольшевского-Кальварийская,1,0,"телевизор, стиральная машина",2012.0,2017-12-21,"парковка, детская площадка, охраняемая территория",1,Молодежная (Заводская линия).,новостройка,1,ламинат,,Фрунзенский район,1,1,нет,1,каркасно-блочный,1,46.0,23.0,11.0,15,1.0,0,9.0,Маладзёжная,510.2579571947991,2922.2518764154042
"Минск, Мстиславца ул., 4",915830,,9,53.929494,27.6531,6.0,633,320,13,121,Восток,1,0,,2012.0,2017-12-20,,1,Восток (Московская линия).,новостройка,1,ламинат,,Первомайский район,1,1,нет,1,каркасно-блочный,1,44.0,18.0,12.0,10,1.0,0,6.0,Усход,558.3991795179805,6728.384220075897
"Минск, Червякова ул., 55",1209936,,2,53.9287,27.5481,7.0,693,350,13,146,"Червякова, Шевченко",0,1,"холодильник, посуда, свч-печь, мелкая бытовая техника, стиральная машина, телевизор, интернет, высокоскоростной интернет",2010.0,2017-12-10,"VIP-квартира, домофон, металлическая дверь, лифт, встроенные шкафы, стеклопакеты, парковка, детская площадка, рядом супермаркет, рядом спортивный центр, рядом зеленая зона",1,нет,новостройка,1,ламинат,"Большая, новая, светлая квартиpа с евpоpемонтом в центpе Минска. Полностью обоpyдована для жизни, вся мебель и техника есть.",Центральный район,1,1,нет,1,кирпичный,1,52.0,20.0,10.0,9,1.0,0,7.0,Няміга,2574.2933910246916,3046.242884345773
"Минск, Федорова ул., 3",832472,,14,53.88328,27.425061,13.0,742,375,12,82,Сухарево,0,1,"холодильник, свч-печь, мелкая бытовая техника, стиральная машина, телевизор, интернет, высокоскоростной интернет",2003.0,2017-10-22,"домофон, металлическая дверь, лифт, встроенные шкафы, стеклопакеты, парковка, хороший вид из окна, окна во двор, благоустроенный двор, детская площадка, рядом супермаркет, рядом гипермаркет, рядом спортивный центр, рядом зеленая зона, элитная квартира",1,нет,новостройка,1,ковровое покрытие,"Квартира-студия, модульная дизайнерская мебель, полы - полностью керамика, подсветка.",Фрунзенский район,1,1,нет,1,панельный,1,45.0,20.0,12.0,17,1.0,1,13.0,Каменная Горка,2724.90811657871,9220.289293987971
"Минск, Космонавтов ул., 14",1206806,,1,53.8535,27.4633,8.0,792,400,15,96,Малиновка,0,0,,2013.0,2017-12-13,,0,Малиновка (Московская линия).,новостройка,1,,"Сдается чистая, светлая, уютная 1 комнатная квартира. Есть все необходимое для комфортного проживания, ТВ , стиральная машина, холодильник, СВЧ и д.р. 10 минут до станции метро Малиновка. В шаговой доступности Парк Павлова, продуктовые магазина, поликлиника и т.д",Московский район,1,1,нет,0,панельный,1,32.0,16.0,7.0,9,1.0,1,8.0,Малінаўка,856.0383419978294,8451.84214868426
"Минск, Дзержинского просп., 11",989948,"Сдается однокомнатная квартира-студия!Идеальное расположение, ст. метро ""Грушевка"" 200 м, до центра города 5 мин., рядом школа, детсад, магазины, фитнес, автостоянка. Дом новый, современного дизайна. Имеется техника : печь свч, холодильник, чайник, стиральная машина, плита(стеклокерамика), духовой шкаф.Есть ЖКИ телевизор диаметром 40 дюймов. Есть отличный диван.Подключен договор с Zala, есть WI-Fi. Оплата за первый и последний месяц. Без домашних животных!!Квартира располагает к приятному и комфортному проживанию. ",16,53.88825,27.520715,6.0,792,400,16,118,"Уманская, Железнодорожная, Грушевская",1,0,"телевизор, свч-печь, холодильник, стиральная машина",2014.0,2017-12-20,рядом магазин,1,нет,улучшенный проект,1,ламинат,,Московский район,1,1,нет,1,монолитный,1,42.0,37.0,7.0,24,1.0,0,6.0,Грушаўка,419.72512431270684,3113.9028197005036
"Минск, Алибегова ул., 26",1197573,"Сдается чистая и аккуратная 1-комнатная квартира в новом доме по адресу: ул. Алибегова д.26, ближайшая ст.м. Петровщина. Евроремонт,квартира полностью укомплектована новой мебелью и современной бытовой техникой: TV, стиpальная машина, СВЧ, холодильник. По желанию может быть доукомплектована необходимой мебелью и техникой. Пpостоpная паpковка, 2 лифта,консьерж. Рядом развитая инфраструктура, необходимые магазины. Квартира полностью готова к проживанию.",3,53.8723,27.4791,5.0,792,400,13,88,Михалово,1,0,"свч-печь, холодильник",2014.0,2017-12-20,"лифт, рядом магазин",1,Петровщина (Московская линия).,новостройка,1,ламинат,,Московский район,1,1,нет,1,каркасно-блочный,1,40.0,19.0,13.0,14,1.0,0,5.0,Пятроўшчына,963.0512655535463,6374.716660303756
"Минск, Денисовская ул., 51",1141261,,11,53.8745,27.5796,8.0,792,400,15,87,Маяковского,0,1,"холодильник, посуда, свч-печь, мелкая бытовая техника, стиральная машина, душевая кабина, телевизор, интернет, высокоскоростной интернет, кондиционер",2013.0,2017-10-28,"домофон, видеодомофон, металлическая дверь, лифт, стеклопакеты, парковка, хороший вид из окна, благоустроенный двор, детская площадка, рядом магазин, рядом супермаркет, рядом гипермаркет, рядом зеленая зона, элитная квартира",1,Пролетарская (Заводская линия).,новостройка,1,паркетная доска,Красивый вид на р .Свислочь. Новая сантехника.Подогревы пола. Фильтр питьевой воды с обратным осмосом. Современное светодиодное освещение.,Ленинский район,1,1,нет,0,монолитный,1,43.0,19.0,12.0,17,1.0,0,8.0,Пралетарская,1776.6608587634562,3336.011999698839
"Минск, Обойная ул., 4/1",999776,"Сдаётся отличная однокомнатная квартира с хорошим ремонтом по ул. Обойная 4 к1. В квартире имеется вся мебель и техника для комфортного проживания, сделан современный ремонт! ",1,53.9075,27.5459,7.0,752,380,13,96,"Победителей, Заславская",1,0,,1997.0,2017-12-20,,1,Фрунзенская (Заводская линия).,улучшенный проект,1,ламинат,,Центральный район,1,1,нет,1,кирпичный,1,38.0,16.0,9.0,10,1.0,0,7.0,Фрунзенская,494.325134892702,1165.7216830860975
"Минск, Немига ул., 14",1216696,,4,53.9027,27.5484,9.0,752,380,19,99,"Победителей, Заславская",0,1,"холодильник, посуда, свч-печь, мелкая бытовая техника, стиральная машина, телевизор, видеомагнитофон, DVD-проигрыватель",1991.0,2017-12-25,"домофон, металлическая дверь, лифт, встроенные шкафы, стеклопакеты, парковка, хороший вид из окна, благоустроенный двор, детская площадка, рядом магазин, рядом супермаркет, рядом гипермаркет, рядом спортивный центр, рядом зеленая зона",1,Немига (Заводская линия).,улучшенный проект,1,паркет,,Центральный район,1,1,нет,1,кирпичный,1,45.0,35.0,12.0,10,1.0,0,9.0,Няміга,508.59455321286896,860.097635262397
"Минск, Скрыганова ул., 4/Б",1210473,"Сдается 1 комн. квартира в новостройке по ул. Скрыганова 4 Б.в тихом центре, укомплектована мебелью и техникой. холодильник, стиральная машина,телевизор,мебель,гардеробная, высокоскоростной интернет. https://www.instagram.com/kv_minsk/   ",21,53.9103,27.5202,8.0,693,350,15,105,Пушкина-Глебки-Притыцкого-Ольшевского-Кальварийская,1,0,"интернет, телевизор, холодильник, стиральная машина",2012.0,2017-12-20,,1,Молодежная (Заводская линия).,новостройка,1,ламинат,,Фрунзенский район,1,1,нет,1,монолитный,1,48.0,20.0,14.0,25,1.0,0,8.0,Маладзёжная,434.8304352543302,2848.7558453928877
"Минск, Притыцкого ул., 2/2",1192083,"Сдается 1-комн.квартира в тихом центре, новостройка, по ул. Притыцкого 2 корпус 2 , в шаговой доступности метро "" Пушкинская ,развитая инфраструктура,""вся техника, бойлер, посудомоечная машина, вся мебель, на длительный срок. https://www.instagram.com/kv_minsk/",4,53.9111,27.5044,17.0,693,350,14,96,Пушкина-Глебки-Притыцкого-Ольшевского-Кальварийская,1,0,посудомоечная машина,2009.0,2017-12-26,,1,Пушкинская (Заводская линия).,новостройка,1,ламинат,,Фрунзенский район,1,1,нет,1,блок-комнаты,1,39.0,28.0,7.0,17,1.0,0,17.0,Пушкінская,465.94883853053466,3871.7893472078085
"Минск, Ложинская ул., 5",1106881,"Сдается однокомнатная уютная квартира по адресу ул. Ложинская, 5, общая площадь - 44, 4 кв. метра. Пешком до станции метро ""Уручье"" - 100 метров. Консьерж, три скоростных лифта. Лоджия, санузел раздельный, гардеробная, кондиционер, паркет, двери из массива, мебель, холодильник, стиральная машина, микроволновая печь, электрочайник.",19,53.946843,27.68808,7.0,752,380,13,107,Уручье,1,0,"кондиционер, холодильник, стиральная машина",2012.0,2017-12-20,лифт,1,Уручье (Московская линия).,улучшенный проект,1,ламинат,,Первомайский район,1,1,нет,1,монолитный,1,44.0,17.0,11.0,25,1.0,0,7.0,Уручча,163.0454622071212,9671.254584931183
"Минск, Мясникова ул., 34",1063847,"В центре Минска сдается 1-комнатная квартира по ул. Мясникова, 34 (ст.м Площадь Ленина). Отличное расположение,  развитая инфраструктура. В квартире сделан современный дорогостоящий ремонт. Имеется вся необходимая мебель (кухонный гарнитур, обеденная группа, диван, шкаф купе и пр.) и техника (варочная панель, духовой шкаф, холодильник, стиральная машина, кондиционер и пр). Просторный совмещенный сан.узел, установлена душевая кабина. Квартира сдается на длительный срок.",7,53.898,27.5434,13.0,752,380,13,88,Вокзал,1,1,"холодильник, мелкая бытовая техника, душевая кабина, интернет, кондиционер",1961.0,2017-12-26,"домофон, охраняемая территория, лифт, стеклопакеты, благоустроенный двор, детская площадка, рядом супермаркет",1,Площадь Ленина (Московская линия).,сталинка,1,,,Октябрьский район,1,1,нет,1,кирпичный,1,34.0,22.0,6.0,7,1.0,0,13.0,Плошча Леніна,689.5573595225161,1289.5624113688916
"Минск, Щорса ул.",1195174,,2,53.884991,27.516646,0.0,752,380,13,80,"Дзержинского, Хмелевского, Щорса",0,1,"холодильник, посуда, свч-печь, мелкая бытовая техника, посудомоечная машина, стиральная машина, душевая кабина, телевизор, интернет, высокоскоростной интернет",2009.0,2017-11-16,"VIP-квартира, домофон, сигнализация, металлическая дверь, лифт, встроенные шкафы, стеклопакеты, парковка, благоустроенный двор, детская площадка, рядом магазин, рядом спортивный центр, рядом зеленая зона",1,"Грушевка, до метро 5 мин. пешком (Московская линия).",улучшенный проект,1,ламинат,,Московский район,1,1,нет,1,каркасно-блочный,1,43.0,19.0,10.0,7,1.0,0,0.0,Грушаўка,226.26439597127143,3533.310627220965
"Минск, Притыцкого ул., 87",1048260,"Сдается просторная 1 комн. квартира с евроремонтом по ул. Притыцкого, 87. Дом современный, с видеонаблюдением и высокоскоростным Интернетом (100 Мб/с). Ремонт выполнен из качественных, экологически чистых материалов,  современная мебель, импортная техника проверенных брендов – делали для себя. Квартира (кухня со встроенной бытовой техникой, просторная комната, большой с/у, лоджия застеклена, утеплена, имеется освещение) полностью укомплектована мебелью (двухспальная кровать, диван, камин, комод, корпусная мебель, шкаф-купе, письменный стол и т.д.) и бытовой техникой (телевизор, духовой шкаф, варочная поверхность, вытяжка, холодильник, стиральная машина). Готова для заселения и комфортного проживания на длительный срок.",4,53.9055,27.4485,17.0,693,350,13,114,"Запад, Красный Бор",1,0,"интернет, телевизор, холодильник, стиральная машина",2008.5,2017-12-21,,1,Кунцевщина (Заводская линия).,Пропуск,1,ламинат,,Фрунзенский район,1,1,нет,1,Пропуск,1,50.0,22.0,12.0,15,1.0,0,17.0,Кунцаўшчына,377.5213377518322,7433.375162246126
"Минск, Притыцкого ул., 77",995565,"Сдается просторная 1-комнатная квартира с евроремонтом  по ул. Притыцкого 77 (ст.м. ""Кунцевщина""). Дом современный: 2005 г.п. с видеонаблюдением. Ремонт выполнен из качественных, экологически чистых материалов,  современная мебель, импортная техника проверенных брендов – делали для себя. Квартира просторная  (кухня со встроенной бытовой техникой, просторная комната, просторный раздельный с/у, лоджия  застекленная) полностью укомплектована мебелью и бытовой техникой (вытяжка, холодильник, чайник, посуда,  стиральная машина, пылесос, гладильная доска). Рядом 2 торговых цента, метро, гимназия, школы, садики. Готова для заселения и комфортного проживания.",6,53.9053,27.4581,10.0,693,350,15,116,"Запад, Красный Бор",1,0,"телевизор, холодильник, стиральная машина",2003.5714285714287,2017-12-20,,1,Кунцевщина (Заводская линия).,Пропуск,1,ламинат,,Фрунзенский район,1,1,нет,1,Пропуск,1,38.0,20.0,10.0,16,1.0,0,10.0,Кунцаўшчына,285.88005245779,6802.056691115283
"Минск, Притыцкого ул., 109",852856,,6,53.9057,27.4294,7.0,693,350,12,90,"Запад, Красный Бор",0,1,"холодильник, мелкая бытовая техника, стиральная машина, телевизор, компьютерная сеть",2008.0,2017-12-13,"домофон, металлическая дверь, лифт, встроенные шкафы, стеклопакеты, парковка, хороший вид из окна, окна во двор, благоустроенный двор, детская площадка, рядом магазин, рядом супермаркет, рядом гипермаркет, рядом рынок, рядом спортивный центр, рядом зеленая зона",1,"Каменная горка, до метро 5 мин. пешком (Заводская линия).",новостройка,1,ламинат,,Фрунзенский район,1,1,нет,1,каркасно-блочный,1,40.0,20.0,10.0,9,1.0,0,7.0,Каменная Горка,448.15983277862495,8688.529388341265
"Минск, Щорса ул., 3",716171,,2,53.881579,27.51882,4.0,752,380,12,98,"Дзержинского, Хмелевского, Щорса",0,1,"холодильник, посуда, свч-печь, мелкая бытовая техника, посудомоечная машина, стиральная машина, джакузи, телевизор, интернет, высокоскоростной интернет, компьютерная сеть",2009.0,2017-11-16,"домофон, сигнализация, металлическая дверь, лифт, встроенные шкафы, стеклопакеты, подземный гараж, парковка, хороший вид из окна, благоустроенный двор, детская площадка, рядом магазин, рядом супермаркет, рядом спортивный центр, рядом зеленая зона",1,Грушевка (Московская линия).,улучшенный проект,1,ламинат,,Московский район,1,1,нет,1,каркасно-блочный,1,43.0,19.0,10.0,7,1.0,0,4.0,Грушаўка,629.6465773303925,3645.113357493712
"Минск, Разинская ул., 62",1202013,,19,53.883282,27.521838,8.0,752,380,17,117,"Дзержинского, Хмелевского, Щорса",0,1,"холодильник, посуда, свч-печь, мелкая бытовая техника, стиральная машина, телевизор, интернет, высокоскоростной интернет, компьютерная сеть",2013.0,2017-11-29,"домофон, металлическая дверь, лифт, встроенные шкафы, стеклопакеты, парковка, хороший вид из окна, благоустроенный двор, детская площадка, рядом магазин",1,Грушевка (Московская линия).,улучшенный проект,1,ламинат,"Сдается 1-комнатная квартира, полностью укомплектованная мебелью и техникой. Рядом ст.м. «Грушевка» (7 мин.пешком), ст. м. «Институт культуры». Хорошее транспортное сообщение.",Московский район,1,1,нет,1,монолитный,1,45.0,18.0,9.0,19,1.0,0,8.0,Грушаўка,597.8049722172173,3371.3869783506093
"Минск, Налибокская ул., 34",1202245,"Сдается от собственника , без комиссии. Уютная 1- комнатная Квартира-студия на 24 этаже с прекрасным видом и панорамным балконом. Новостройка 2015 год. В доме есть видеонаблюдение, консъержка. Из мебели: Диван, стол, кровать. Кухня оборудована, полностью новая. Холодильник, стиральная машина есть. Wifi , оптоволокно. Пол выполнен из ламината и современной плитки. 10 мин на транспорте от ст.м. ""Каменная горка"". Предпочтительно одиночка или пара без детей.  Подготовкой и размещением рекламных материалов занималась компания REALEST.",24,53.9289,27.4336,12.0,693,350,14,98,Каменная горка,0,0,"телевизор, холодильник, стиральная машина",2015.0,2017-12-05,,1,нет,новостройка,1,,"Сдается от собственника , без комиссии. Уютная 1- комнатная Квартира-студия на 24 этаже с прекрасным видом и панорамным балконом. Новостройка 2015 год. В доме есть видеонаблюдение, консъержка. Из мебели: Диван, стол, кровать. Кухня оборудована, полностью новая. Холодильник, стиральная машина есть. Wifi , оптоволокно. Пол выполнен из ламината и современной плитки. 10 мин на транспорте от ст.м. `Каменная горка`. Предпочтительно одиночка или пара без детей. Подготовкой и размещением рекламных материалов занималась компания REALEST.",Фрунзенский район,1,1,нет,0,каркасно-блочный,1,40.0,20.0,7.0,25,1.0,0,12.0,Каменная Горка,2452.313330691964,8901.931747714603
"Минск, Бельского ул., 14",1145005,"Сдается отличная однокомнатная квартира-студия по адресу: ул. Бельского, дом 14. В пяти минутах ходьбы от станции метро ""Спортивная"". Квартира полностью готова к проживанию. Имеется вся необходимая мебель и бытовая техника. Прописан один человек. Торг уместен!",5,53.9049,27.4808,10.0,693,350,14,96,Пушкина-Мавра-Бельского,1,0,,2001.0,2017-12-21,,1,Спортивная (Заводская линия).,новостройка,1,ламинат,,Фрунзенский район,1,1,нет,1,кирпичный,1,47.0,18.0,11.0,9,1.0,0,10.0,Спартыўная,403.4986135350113,5309.668543772636
"Минск, Хоружей ул., 10/1",1191471,"Сдается однокомнатная квартира по ул. Хоружей 10 к1  в центре Минска: евроремонт, вся бытовая техника,вся мебель, консьерж,охраняемый паркинг,рядом ""Комаровский рынок"", в10 минутах ходьбы ст.метро ""Якуба Коласа""",5,53.9203,27.5746,8.0,693,350,12,99,"Богдановича, Куйбышева, Веры Хоружей",1,0,,1997.0,2017-12-21,рядом рынок,1,Площадь Якуба Коласа (Московская линия).,улучшенный проект,1,ламинат,,Советский район,1,1,нет,1,монолитный,1,36.0,18.0,8.0,16,1.0,0,8.0,Плошча Якуба Коласа,794.2327829469064,2161.0547132244533
"Минск, Дзержинского просп., 9",1016526,,12,53.8895,27.5235,8.0,740,374,17,133,"Уманская, Железнодорожная, Грушевская",0,1,"холодильник, посуда, свч-печь, мелкая бытовая техника, стиральная машина, телевизор, высокоскоростной интернет",2012.0,2017-12-21,"VIP-квартира, домофон, металлическая дверь, охраняемая территория, лифт, встроенные шкафы, стеклопакеты, парковка, хороший вид из окна, окна во двор, благоустроенный двор, детская площадка, рядом магазин, рядом супермаркет",0,Грушевка (Московская линия).,новостройка,1,,"Уютная, стильная,полностью благоустроенная квартира со всем необходимым для проживания.Торг уместен",Московский район,1,1,нет,1,каркасно-блочный,1,40.0,17.0,12.0,13,1.0,0,8.0,Грушаўка,645.5783872296458,2885.57504340455
